CUSEC;NMUN;V_VENTA;N_VENTA;FECHA
2800501001;Alcalá de Henares;53;15;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501002;Alcalá de Henares;25;13;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501003;Alcalá de Henares;48;10;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501004;Alcalá de Henares;50;2;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501005;Alcalá de Henares;58;19;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501006;Alcalá de Henares;40;4;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501007;Alcalá de Henares;29;4;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501008;Alcalá de Henares;37;1;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501009;Alcalá de Henares;26;3;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501010;Alcalá de Henares;26;10;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501011;Alcalá de Henares;24;1;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501012;Alcalá de Henares;2 huéspedes · 1 dormitorio · 1 cama · 1,5 baños;Más  cercanos;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501013;Alcalá de Henares;null;null;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501014;Alcalá de Henares;39;4;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501015;Alcalá de Henares;39;6;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501016;Alcalá de Henares;28;5;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501017;Alcalá de Henares;13;3;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501018;Alcalá de Henares;116;4;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501019;Alcalá de Henares;27;3;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501020;Alcalá de Henares;25;5;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501021;Alcalá de Henares;44;5;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501022;Alcalá de Henares;38;6;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501023;Alcalá de Henares;48;5;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
2800501024;Alcalá de Henares;104;5;Mon Nov 26 2018 05:09:09 GMT+0100 (Hora estándar romance)
