CUSEC;NMUN;V_VENTA;N_VENTA;FECHA
2804001001;Ciempozuelos;35;5;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804001002;Ciempozuelos;49;3;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804001003;Ciempozuelos;9;1;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804002001;Ciempozuelos;9;1;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804002002;Ciempozuelos;59;1;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804002003;Ciempozuelos;20;5;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804002004;Ciempozuelos;null;null;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804002005;Ciempozuelos;59;1;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804002006;Ciempozuelos;null;null;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804003001;Ciempozuelos;59;1;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
2804003002;Ciempozuelos;49;3;Mon Nov 26 2018 05:56:12 GMT+0100 (Hora estándar romance)
