CUSEC;NMUN;V_VENTA;N_VENTA;FECHA
2806101001;Galapagar;76;9;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101002;Galapagar;23;2;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101003;Galapagar;73;25;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101004;Galapagar;16;1;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101005;Galapagar;93;3;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101006;Galapagar;154;6;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101007;Galapagar;37;3;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101008;Galapagar;55;10;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101009;Galapagar;55;2;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101010;Galapagar;162;7;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101011;Galapagar;21;4;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101012;Galapagar;100;16;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
2806101013;Galapagar;68;5;Mon Nov 26 2018 06:23:08 GMT+0100 (Hora estándar romance)
