CUSEC;NMUN;V_VENTA;N_VENTA;FECHA
2806501002;Getafe;89;2;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501003;Getafe;16;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501004;Getafe;41;2;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501005;Getafe;null;null;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501006;Getafe;35;3;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501007;Getafe;null;null;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501008;Getafe;null;null;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501009;Getafe;2 huéspedes · 1 dormitorio · 1 cama · 1 baño;Más  cercanos;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501010;Getafe;84;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501011;Getafe;89;2;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501012;Getafe;24;2;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501013;Getafe;24;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501014;Getafe;40;7;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501015;Getafe;24;2;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501016;Getafe;16;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501017;Getafe;54;2;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501018;Getafe;1 huésped · 1 dormitorio · 1 cama · 1 baño privado;Más  cercanos;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806501019;Getafe;88;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502001;Getafe;37;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502002;Getafe;37;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502003;Getafe;2 huéspedes · 1 dormitorio · 1 cama · 1 baño;Más  cercanos;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502004;Getafe;35;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502005;Getafe;24;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502006;Getafe;24;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502007;Getafe;2 huéspedes · 1 dormitorio · 1 cama · 1 baño;Más  cercanos;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502009;Getafe;43;3;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502010;Getafe;44;9;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502011;Getafe;67;3;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502012;Getafe;65;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502013;Getafe;34;2;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502014;Getafe;22;3;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502015;Getafe;20;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502016;Getafe;36;8;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502017;Getafe;52;5;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502018;Getafe;null;null;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502019;Getafe;29;3;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502020;Getafe;25;2;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806502021;Getafe;9;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806503001;Getafe;15;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806503002;Getafe;2 huéspedes · 1 dormitorio · 1 cama · 1 baño;Más  cercanos;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806503003;Getafe;44;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806503004;Getafe;22;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806503005;Getafe;23;1;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806503006;Getafe;null;null;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806503007;Getafe;2 huéspedes · 1 dormitorio · 1 cama · 1 baño;Más  cercanos;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
2806503008;Getafe;17;5;Mon Nov 26 2018 06:24:45 GMT+0100 (Hora estándar romance)
