CUSEC;NMUN;V_VENTA;N_VENTA;FECHA
2807901001;Madrid;81;301;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901002;Madrid;74;120;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901003;Madrid;83;306;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901004;Madrid;88;114;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901006;Madrid;79;174;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901007;Madrid;75;67;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901008;Madrid;76;66;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901009;Madrid;69;223;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901011;Madrid;68;160;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901012;Madrid;68;154;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901013;Madrid;null;null;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901014;Madrid;72;78;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901015;Madrid;75;129;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901016;Madrid;67;64;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901018;Madrid;61;81;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901019;Madrid;59;63;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901020;Madrid;60;66;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901021;Madrid;64;101;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901022;Madrid;64;99;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901023;Madrid;68;109;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901024;Madrid;66;95;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901025;Madrid;70;306;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901026;Madrid;77;211;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901027;Madrid;74;170;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901028;Madrid;65;163;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901029;Madrid;58;116;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901030;Madrid;54;134;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901031;Madrid;60;171;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901032;Madrid;59;95;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901033;Madrid;53;157;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901034;Madrid;51;188;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901035;Madrid;48;161;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901036;Madrid;52;65;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901037;Madrid;49;33;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901038;Madrid;52;58;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901039;Madrid;54;140;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901040;Madrid;52;42;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901041;Madrid;53;92;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901042;Madrid;49;112;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901043;Madrid;53;101;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901045;Madrid;65;110;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901046;Madrid;53;143;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901047;Madrid;57;157;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901048;Madrid;48;88;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901049;Madrid;55;86;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901050;Madrid;51;155;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901051;Madrid;53;141;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901053;Madrid;55;181;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901054;Madrid;55;75;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901055;Madrid;55;56;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901056;Madrid;63;29;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901057;Madrid;59;110;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901058;Madrid;72;95;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901059;Madrid;57;259;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901061;Madrid;62;84;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901062;Madrid;67;97;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901063;Madrid;62;64;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901064;Madrid;71;70;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901065;Madrid;71;70;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901066;Madrid;64;142;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901067;Madrid;77;306;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901068;Madrid;75;257;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901069;Madrid;74;257;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901071;Madrid;81;47;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901072;Madrid;76;283;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901073;Madrid;124;72;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901074;Madrid;75;288;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901075;Madrid;null;null;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901076;Madrid;68;216;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901077;Madrid;73;107;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901079;Madrid;78;112;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901081;Madrid;68;268;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901082;Madrid;69;172;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901084;Madrid;90;138;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901087;Madrid;78;146;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901088;Madrid;82;115;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901089;Madrid;75;37;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901090;Madrid;69;46;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901091;Madrid;70;30;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901092;Madrid;68;15;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901093;Madrid;68;78;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901094;Madrid;67;156;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901095;Madrid;64;174;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901096;Madrid;60;112;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901097;Madrid;63;188;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901098;Madrid;60;149;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901099;Madrid;63;107;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901100;Madrid;63;118;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901101;Madrid;67;80;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901102;Madrid;63;116;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901103;Madrid;63;37;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901104;Madrid;59;66;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901105;Madrid;63;57;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901106;Madrid;72;12;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901107;Madrid;68;41;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901108;Madrid;81;94;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901109;Madrid;70;46;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901110;Madrid;66;124;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901111;Madrid;68;78;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
2807901112;Madrid;70;167;Mon Nov 26 2018 06:53:29 GMT+0100 (Hora estándar romance)
