CUSEC;NMUN;V_VENTA;N_VENTA;FECHA
2809601001;Navalcarnero;null;null;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601002;Navalcarnero;null;null;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601003;Navalcarnero;49;4;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601004;Navalcarnero;37;8;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601005;Navalcarnero;45;4;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601006;Navalcarnero;45;4;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601007;Navalcarnero;140;2;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601008;Navalcarnero;null;null;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601009;Navalcarnero;null;null;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601010;Navalcarnero;73;6;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601011;Navalcarnero;105;3;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
2809601012;Navalcarnero;66;7;Mon Nov 26 2018 12:12:02 GMT+0100 (Hora estándar romance)
